reading_no;sample_measurement_id;sample_id;site_id;sweref_n;sweref_e;parish;patina;hue;color;material;artefact;type;note;texture;grain_size;layering;topography;homogeneity;inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;Bal;Mg;Al;Si;P;S;Cl;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Pd;Ag;Cd;Sn;Sb;Ba;Hf;Ta;W;Re;Au;Hg;Ti;Pb;Bi;Th;U
658;36;36;Stensele 74;7221583;597773;Stensele;No;Light;Opaque;Quartzite;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;Yes;;;19;42;7;6;798;Medium;0.0188 ;2.0681 ;0.4584 ;95.0469 ;;0.2165 ;1.3901 ;0.3597 ;0.1761 ;;0.0098 ;0.1209 ;;0.0044 ;;;;;;;;;;;;;;;;;0.1090 ;;;;;;;0.0212 ;;;;
659;37;37;Stensele 200;7261567;546025;Stensele;No;Light;Opaque;Breccie quartz;Arrow point fragment;Point fragment;;Fine-grained;Granoblastic;Non-foliated;Smooth;No;Dark mineral grains;;20;33;7;6;660;Medium;54.1364 ;0.2345 ;0.0544 ;45.3186 ;;0.0133 ;0.1678 ;0.0475 ;0.0064 ;;0.0047 ;;0.0025 ;;;;;;;;;;0.0016 ;;;;;;0.0007 ;;0.0091 ;;;;;;;0.0024 ;;;;
660;38;38;Stensele 106;7260504;545445;Stensele;Yes;Light;Opaque;Breccie quartz;Arrow point fragment;Point fragment;;Fine-grained;Granoblastic;Non-foliated;Smooth;No;Dark mineral grains;;21;29;5;3;609;Medium;;1.4986 ;0.8657 ;94.7804 ;0.1530 ;0.5172 ;1.3112 ;0.5336 ;0.0482 ;;0.0239 ;0.2114 ;;0.0034 ;;;;;;;;;;;;;;;;;0.0706 ;;;;;;;0.0182 ;;;;
661;39;39;;7096297;752920;Umeaa;No;Light;Opaque;Breccie quartz;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;Dirt, modern;20;71;7;;1420;Medium;54.6842 ;0.3018 ;0.1405 ;44.3106 ;0.0144 ;0.0767 ;0.2622 ;0.1114 ;0.0725 ;;;;0.0074 ;;;;0.0052 ;;;;;;0.0008 ;;;;;;;;0.0109 ;;;;;;;0.0013 ;;;;
662;40;40;Umeaa 262;7099908;754073;Umeaa;No;Translucent;Translucent;Quartz;Point;Point;Small object;Massive;Granoblastic;Non-foliated;Irregular;No;Dark mineral grains;;6;15;;;90;Small;45.3932 ;;0.9029 ;52.8747 ;0.1301 ;0.0258 ;0.2157 ;0.2418 ;0.0674 ;;;;0.0856 ;;;;;;;;;;;;;0.0005 ;0.0002 ;0.0009 ;0.0006 ;;;;;;;;;0.0311 ;;;;
663;41;41;Umeaa 510;7108970;753228;Umeaa;No;Dark;Gray;Quartzite;Point;Point;;Fine-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Bands of quartz and mineral grains;;18;46;5;5;828;Medium;;;2.3341 ;93.5067 ;0.1693 ;0.3576 ;2.4347 ;0.7115 ;0.1910 ;;0.0149 ;0.1729 ;0.0118 ;0.0025 ;;;;;;;;;;;;;;;;;0.0381 ;;;;;;;0.0667 ;;;;
664;42;42;;7096297;752920;Umeaa;Yes;Light;Gray;Quartzite;Arrow point;Point;;Medium-grained;Porphyroblastic;Foliation;Conchoidal;No;Mineral grains;Iron oxide;13;51;;;663;Medium;;1.4552 ;28.3179 ;64.8073 ;1.3288 ;0.3479 ;1.7334 ;0.9223 ;0.6571 ;;0.0136 ;0.1427 ;0.0065 ;0.0020 ;;;;;;;;;;;;;;;;;0.0482 ;;;;;;;0.2510 ;;;;
665;42b;42;;7096297;752920;Umeaa;Yes;Light;Gray;Quartzite;Arrow point;Point;Sample point on side with iron oxide;Medium-grained;Porphyroblastic;Foliation;Conchoidal;No;Mineral grains;Iron oxide;13;51;;;663;Medium;;1.4891 ;31.1771 ;56.1097 ;3.1308 ;0.6649 ;2.8053 ;2.3598 ;1.1666 ;0.0080 ;0.0156 ;0.2004 ;0.0096 ;0.0035 ;;;;;;;;;;;;;;;0.0035 ;;;;;;;;;0.8542 ;;;;
666;43;43;;7096297;752920;Umeaa;Yes;Light;Opaque;Breccie quartz;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;Dirt;17;56;;;952;Medium;54.3014 ;0.3024 ;0.8265 ;44.0340 ;0.0571 ;0.0738 ;0.1596 ;0.1676 ;0.0133 ;;0.0053 ;;0.0398 ;;;;;;;;;;0.0026 ;;;;;;;;0.0036 ;;;;;;;0.0129 ;;;;
668;44;44;Stensele 75;7221248;598195;Stensele;No;White;White;Quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Irregular;Yes;;;31;68;18;40;2108;Large;55.5070 ;;0.0942 ;43.9307 ;0.0206 ;0.0840 ;0.1574 ;0.0578 ;0.0122 ;;0.0084 ;;0.0045 ;;;;;;;;;;;;;;;;0.0005 ;;0.0150 ;;;;;;;0.0038 ;;;;
